NOT A HEADER,TEXT,COUNT,CHECKED TABLE,
no,Lomitapide,1,,
no,Lopinavir/ritonavir,1,,
no,Lopinavir/Ritonavir*\,1,,
no,Lopinavir/Ritonavir*  \,1,,
,Mean (SD) Noncompartmental Pharmacokinetic Parameters After Multiple Doses of 5 mg/day in Older Men,1,,
,Mean (SD) Pharmacokinetic Parameters in Healthy Young Subjects (n=15),1,,
,Methotrexate,4,yes- TABLE-1eaa7790-f1a1-4f51-b10a-cbbaf033f684-drugInteractions-0.txt,
no,"Methylxanthine Bronchodilators- (e.g., Theophylline)",1,,
no,"Methylxanthine Bronchodilators- (e.g., Theophylline)",6,,
no,"Methylxanthine Bronchodilators - (e.g., Theophylline)",8,,
no,"Methylxanthine Bronchodilators- (e.g., Theophylline)",17,,
no,Motility agents: Cisapride\,1,,
no,nafcillin,1,,
,Name of the Concomitant Drug ,1,,
no,Nelfinavir*\,1,,
no,Nelfinavir* \,1,,
,NSAIDs,4,,
no,Opiate agonists: Fentanyl\,1,,
,Oral antidiabetic drugs,4,,
no,Oral contraceptives: Ethinyl estradiol and Norethindrone*\,1,,
,Oral drugs for which sevelamer did not alter the pharmacokinetics when administered concomitantly,1,,
no,Paroxetine,2,,
no,Paroxetine,2,,
no,Paroxetine,1,,
no,Paroxetine,1,,
no,Paroxetine,1,,
no,Paroxetine \,1,,
no,Phenobarbital\,1,,
no,Phenobarbital,1,,
no,Phenytoin \,1,,
no,Phenytoin,5,,
no,Probenecid,1,,
no,Probenecid ,1,,
no,Probenecid \,2,,
no,Protease inhibitor:  atazanavir,1,,
,Radiographic Agents,32,,
no,Ranitidine ,2,,
no,Ranitidine ,1,,
no,Ranitidine \,3,,
no,Rifabutin*\,1,,
no,Rifampin*\,1,,
no,Ropinirole,4,,
no,Saquinavir/ritonavir\,1,,
no,Saquinavir/Ritonavir \,1,,
no,Sildenafil,4,,
,Specific Drugs Reported,10,,
,"Strong CYP3A4 Inducers (e.g., carbamazepine, rifampin)",1,,
,"Strong CYP3A4 Inhibitors (e.g., itraconazole, clarithromycin) or strong CYP2D6 inhibitors (e.g., quinidine, fluoxetine, paroxetine)",1,,
,"Strong CYP3A4 inhibitors (e.g., itraconazole, ketoconazole, posaconazole, voriconazole, erythromycin, clarithromycin, telithromycin, HIV protease inhibitors, boceprevir, telaprevir, nefazodone, cobicistatcontaining products), gemfibrozil, cyclosporine, danazol ",1,,
,Sympathomimetics,32,,
no,Telaprevir\,1,,
no,Theophylline,4,,
no,Tizanidine,4,,
no,Tolbutamide; Sulfonylureas ,1,,
no,Valproic acid \,1,,
no,"Verapamil, diltiazem, dronedarone",1,,
