HEADER,TEXT,COUNT,
,"Administration of these agents with levothyroxine results in an initial transient increase in FT4. Continued administration results in a decrease in serum T4 and normal FT4 and TSH concentrations and, therefore, patients are clinically euthyroid. Salicylates inhibit binding of T4 and T3 to TBG and transthyretin. An initial increase in serum FT4, is followed by return of FT4 to normal levels with sustained therapeutic serum salicylate concentrations, although total-T4 levels may decrease by as much as 30%.",32,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).",1,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).",6,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , Ieading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).\4\3\3\4\3\4\3\4\3\4",1,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T to T , leading to decreased T levels. However, serum T levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T and T levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T concentrations by 30% with minimal change in serum T levels. However, long-term glucocorticoid therapy may result in slightly decreased T and T levels due to decreased TBG production (see above).\4\3\3\4\3\4\3\4\3\4",8,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, Ieading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).",16,
,"Administration of these enzyme inhibitors decrease the peripheral conversion of T4 to T3, leading to decreased T3 levels. However, serum T4 levels are usually normal but may occasionally be slightly increased. In patients treated with large doses of propranolol ( > 160 mg/day), T3 and T4 levels change slightly, TSH levels remain normal, and patients are clinically euthyroid. It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state. Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels. However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).",16,
,"Administration of these enzyme inhibitors decreases the peripheral conversion of T4 to T3, leading to decreased T3 levels.However, serum T4 levels are usually normal but may occasionally be slightly increased.In patients treated with large doses of propranolol (> 160 mg/day), T3 and T4levels change slightly, TSH levels remain normal, and patients are clinically euthyroid.It should be noted that actions of particular beta-adrenergic antagonists may be impaired when the hypothyroid patient is converted to the euthyroid state.Short-term administration of large doses of glucocorticoids may decrease serum T3 concentrations by 30% with minimal change in serum T4 levels.However, long-term glucocorticoid therapy may result in slightly decreased T3 and T4 levels due to decreased TBG production (see above).",2,
y,AED Concentration,10,
y,AEDÊConcentration ,2,
,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,2,
,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,12,
,Aminoglutethimide Amiodarone Iodide (including iodine- Ê Êcontaining radiographic Ê Êcontrast agents) Lithium Methimazole Propylthioracil (PTU) Sulfonamides Tolbutamide,1,
,Aminoglutethimide Amiodarone Iodide (including iodine-containing Radiographic contrast agents) Lithium Methimazole Propylthioracil (PTU) Sulfonamides Tolbutamide,16,
,AminoglutethimideAmiodaroneIodide (including iodine-containing Radiographic contrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,32,
,AminoglutethimideAmiodaroneIodide (including iodine-Ê Êcontaining radiographicÊ Êcontrast agents)LithiumMethimazolePropylthioracil (PTU)SulfonamidesTolbutamide,16,
,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",2,
,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),2,
,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",12,
,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),12,
,"Amiodarone Beta-adrenergic antagonists - (e.g., Propranolol > 160 mg/day) Glucocorticoids -(e.g., Dexamethasone ? 4 mg/day) Propylthiouracil (PTU)",18,
,Amiodarone Iodide (including iodine- containing Radiographic contrast agents),1,
,Amiodarone Iodide (including iodine-containing Radiographic contrast agents),16,
,"AmiodaroneBeta-adrenergic antagonists- (e.g., Propranolol > 160 mg/day)Glucocorticoids-(e.g., Dexamethasone ? 4 mg/day)Propylthiouracil (PTU)",64,
,AmiodaroneIodide (including iodine-containing Radiographic contrast agents),32,
,AmiodaroneIodide (including iodine-containing Radiographiccontrast agents),16,
,"Amlodipine\									Aspirin\									Atorvastatin\									Calcitriol\									Clopidogrel\									Digoxin\									Diltiazem\									Doxercalciferol\									Enalapril\									Fluvastatin\									Glimepiride\									Levofloxacin\									Losartan\									Metoprolol\									Pravastatin\									Propranolol\									Sitagliptin\									Warfarin",1,
,Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid,1,
,Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid,6,
,Androgens / Anabolic Steroids,17,
,Androgens / Anabolic Steroids Asparaginase Glucocorticoids Slow-Release Nicotinic Acid,8,
,Androgens / Anabolic SteroidsAsparaginaseGlucocorticoidsSlow-Release Nicotinic Acid,17,
,Antacids - Aluminum & Magnesium Hydroxides - Simethicone Bile Acid Sequestrants - Cholestyramine - Colestipol Calcium Carbonate Cation Exchange Resins - Kayexalate Ferrous Sulfate Orlistat Sucralfate,2,
,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx¨ (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) ",1,
,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx¨ (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products)",1,
,"Antacids, Sucralfate, Multivitamins and Other Products Containing Multivalent Cations (magnesium/aluminum antacids; polymeric phosphate binders (for example, sevelamer, lanthanum carbonate); sucralfate; Videx¨ (didanosine) chewable/buffered tablets or pediatric powder; other highly buffered drugs; or products containing calcium, iron, or zinc and dairy products) ",2,
,Antacids- Aluminum & Magnesium Hydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,4,
,Antacids- Aluminum & MagnesiumHydroxides- SimethiconeBile Acid Sequestrants- Cholestyramine- ColestipolCalcium CarbonateCation Exchange Resins- KayexalateFerrous SulfateOrlistatSucralfate,32,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,2,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,12,
,Anticoagulants (oral) - Coumarin Derivatives - Indandione Derivatives,18,
,Anticoagulants (oral)- Coumarin Derivatives- Indandione Derivatives,64,
,"Anticonvulsants:Carbamazepine,clonazepam, ethosuximide",1,
,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",2,
,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",12,
,"Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",2,
,"Antidepressants - Tricyclics (e.g., Amitriptyline) - Tetracyclics (e.g., Maprotiline) - Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",16,
,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin Reuptake Inhibitors (SSRIs; e.g., Sertraline)",32,
,"Antidepressants- Tricyclics (e.g., Amitriptyline)- Tetracyclics (e.g., Maprotiline)- Selective Serotonin ReuptakeInhibitors (SSRIs; e.g., Sertraline)",32,
,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,2,
,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,12,
,Antidiabetic Agents - Biguanides - Meglitinides - Sulfonylureas - Thiazolidediones - Insulin,18,
,"Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, propoxyphene, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics.",1,
,"Antidiabetic agents, ACE inhibitors, angiotensin II receptor blocking agents, disopyramide, fibrates, fluoxetine, monoamine oxidase inhibitors, pentoxifylline, pramlintide, propoxyphene, salicylates, somatostatin analogs (e.g., octreotide), and sulfonamide antibiotics.",1,
,Antidiabetic Agents- Biguanides- Meglitinides- Sulfonylureas- Thiazolidediones- Insulin,64,
,Antifungals: Fluconazole*,1,
,Antithrombotics: Warfarin,1,
,Appropriate doses for these combinations have not been established.,4,
,Appropriate doses for this combination have not been established.,10,
,Asparaginase,17,
,Atazanavir/ Ritonavir*,1,
y,AUC,2,
y,AUC,2,
y,AUC,1,
y,AUC,1,
y,AUC,1,
y,AUC,16,
,AUC0Ð24 hrs,2,
y,AUCÊ,1,
,Avoid Use(Plasma Exposure Likely to be Increased and Prolonged) ,2,checked
,Avoid Use Five-fold increase in duloxetine exposure ,2,checked
,Avoid Use,8,checked
,Avoid Use (Plasma Exposure Likely to be Increased and Prolonged),2,checked
,Avoid Use (Plasma Exposure Likely to be Increased and Prolonged) ,4,checked
,Avoid Use Five-fold increase in duloxetine exposure,2,checked
,Avoid Use Five-fold increase in duloxetine exposure ,4,
,AvoidÊgrapefruitÊjuiceÊÊ,1,
,"Because of the risk of increased exposure to nevirapine, caution should be used in concomitant administration, and patients should be monitored closely for nevirapine-associated adverse events.",2,
,Boceprevir ,1,
,bosentan,1,
,"Calcitriol\										Ciprofloxacin\										Digoxin\										Enalapril\										Furosemide\										HMG-CoA reductase inhibitors\										Hydrochlorothiazide\										Losartan\										Metoprolol\										Nifedipine\										Omeprazole\										Quinidine\										Warfarin",1,
,"Calcium channel blockers: Diltiazem, nifedipine, verapamil",1,
,Cancer chemotherapy:Cyclophosphamide,1,
,CarbamazepineHydantoinsPhenobarbitalRifampin,2,
,CarbamazepineHydantoinsPhenobarbitalRifampin,12,
,carbamazepine,1,
,Carbamazepine Hydantoins Phenobarbital Rifampin,18,
,CarbamazepineHydantoinsPhenobarbitalRifampin,64,
,carbamazepineÊÊÊÊÊÊÊ,1,
y,Cardiac Glycosides,96,
,Careful monitoring of clozapine associated adverse reactions and appropriate adjustment of clozapine dosage during and shortly after co-administration with ciprofloxacin are advised.,8,
,Change in the Concentration of Ganciclovir or Concomitant Drug,1,
,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,2,
,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,12,
,Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine Nitroprusside Para-aminosalicylate sodium Perphenazine Resorcinol (excessive topical use) Thiazide Diuretics,16,
,Chloral Hydrate Diazepam Ethionamide Lovastatin Metoclopramide 6-Mercaptopurine NITROPRUSSIDE Para-aminosalicylate sodium Perphenazine Resorcinol Ê(excessive topical use) Thiazide Diuretics,2,
,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNitroprussidePara-aminosalicylate sodiumPerphenazineResorcinol (excessive topical use)Thiazide Diuretics,32,
,Chloral HydrateDiazepamEthionamideLovastatinMetoclopramide6-MercaptopurineNITROPRUSSIDEPara-aminosalicylate sodiumPerphenazineResorcinolÊ(excessive topical use)Thiazide Diuretics,32,
,Ciprofloxacin inhibits the formation of paraxanthine after caffeine administration (or pentoxifylline containing products). Monitor for xanthine toxicity and adjust dose as necessary.,8,
,"Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics)\[see Warnings and Precautions (5.10) and Use inSpecific Populations (8.5)].",2,
,"Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)]. ",2,
,"Ciprofloxacin may further prolong the QT interval in patients receiving drugs known to prolong the QT interval (for example, class IA or III antiarrhythmics, tricyclic antidepressants, macrolides, antipsychotics) [see Warnings and Precautions (5.10) and Use in Specific Populations (8.5)]. ",4,
,Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration [see Dosage and Administration. (2)]. ,2,
,Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration .\[see Dosage and Administration\(2)].,2,
,Ciprofloxacin should be taken at least two hours before or six hours after Multivalent cation-containing products administration [see Dosage and Administration. (2)]. ,4,
,"Clarithromycin exposure was significantly decreased by nevirapine; however, 14-OH metabolite concentrations were increased. Because clarithromycin active metabolite has reduced activity against Mycobacterium aviumintracellulare complex, overall activity against this pathogen may be altered. Alternatives to clarithromycin, such as azithromycin, should be considered.",2,
y,Classes of Drugs,24,
y,Clinical Comment,2,
y,Clinical Comment,33,
y,Clinical CommentÊ,1,
y,CLINICAL EFFECT(S),3,
y,Clinical Rationale and Magnitude of Drug Interaction,1,
y,Clinical Recommendation,1,
y,ClinicalÊCommentÊ,2,
,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,2,
,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,12,
,Clofibrate,34,
,Clofibrate Estrogen-containing oral contraceptives Estrogens (oral) Heroin / Methadone 5-Fluorouracil Mitotane Tamoxifen,16,
,ClofibrateEstrogen-containing oral contraceptivesEstrogens (oral)Heroin / Methadone5-FluorouracilMitotaneTamoxifen,33,
y,Cm\a\x,1,
y,Cmax,2,
y,Cmax,2,
y,Cmax,1,
y,Cmax,1,
y,Cmax,18,
y,CmaxÊ,1,
y,Cmin,16,
y,Co-administered\Drug Dose (Schedule),2,
y,Co-administered Drug Dose (Schedule),2,
,Co-administration of nevirapine and fosamprenavir without ritonavir is not recommended.,1,
,Co-administration of nevirapine and fosamprenavir without ritonavir is not recommended. ÊNo dosing adjustments are required when nevirapine is co-administered with 700/100 mg of fosamprenavir/ritonavir twice daily. The combination of nevirapine administered with fosamprenavir/ritonavir once daily has not been studied. ,1,
y,CoadministeredÊDrug,2,checked
y,CoadministeredÊDrug,2,checked
y,CoadministeredÊDrug,1,checked
y,CoadministeredÊDrug,1,checked
y,CoadministeredÊDrug,1,checked
,Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ,2,
,Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [ ]\see Contraindications (4.2),2,
,Concomitant administration of tizanidine and ciprofloxacin is contraindicated due to the potentiation of hypotensive and sedative effects of tizanidine [see Contraindications (4.2)] ,4,
,"Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate.\[See Warnings and Precautions (5.6).]",2,
,"Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] ",2,
,"Concurrent administration of ciprofloxacin with theophylline may result in increased risk of a patient developing central nervous system (CNS) or other adverse reactions. If concomitant use cannot be avoided, monitor serum levels of theophylline and adjust dosage as appropriate. [See Warnings and Precautions (5.6).] ",4,
,Concurrent use may increase the effects of sympathomimetics or thyroid hormone.Thyroid hormones may increase the risk of coronary insufficiency when sympathomimetic agents are administered to patients with coronary artery disease.,2,
,Concurrent use may increase the effects of sympathomimetics or thyroid hormone. Thyroid hormones may increase the risk of coronary insufficiency when sympathomimetic agents are administered to patients with coronary artery disease.,48,
,Concurrent use may produce marked hypertension and tachycardia; cautious administration to patients receiving thyroid hormone therapy is recommended.,50,
,"Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism.Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex.Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.",2,
,"Concurrent use may reduce the efficacy of levothyroxine by binding and delaying or preventing absorption, potentially resulting in hypothyroidism. Calcium carbonate may form an insoluble chelate with levothyroxine, and ferrous sulfate likely forms a ferric-thyroxine complex. Administer levothyroxine at least 4 hours apart from these agents. Patients treated concomitantly with orlistat and levothyroxine should be monitored for changes in thyroid function.",48,
,"Concurrent use of tri/tetracyclic antidepressants and levothyroxine may increase the therapeutic and toxic effects of both drugs, possibly due to increased receptor sensitivity to catecholamines.Toxic effects may include increased risk of cardiac arrhythmias and CNS stimulation; onset of action oftricyclics may be accelerated.Administration of sertraline in patients stabilized on levothyroxine may result in increased levothyroxine requirements.",2,
,"Concurrent use of tri/tetracyclic antidepressants and levothyroxine may increase the therapeutic and toxic effects of both drugs, possibly due to increased receptor sensitivity to catecholamines.Toxic effects may include increased risk of cardiac arrhythmias and CNS stimulation; onset of action of tricyclics may be accelerated. Administration of sertraline in patients stabilized on levothyroxine may result in increased levothyroxine requirements.",48,
,Contraindicated,8,
,"cyclosporine , glimepiride , glipizide , glyburide , levothyroxine , olmesartan medoxomil , and oral contraceptives containing ethinyl estradiol and norethindrone\c\a\a\aa\aa",1,
,"cyclosporinec, glimepiridea, glipizidea, glyburidea,levothyroxinea, olmesartan medoxomila, and oralcontraceptives containing ethinyl estradiol andnorethindronea",1,
,Cytokines- Interferon-?- Interleukin-2,2,
,Cytokines- Interferon-?- Interleukin-2,12,
,Cytokines - Interferon-? - Interleukin-2,18,
,Cytokines- Interferon-?- Interleukin-2,64,
,"Decrease ciprofloxacin absorption, resulting in lower serum and urine levels",1,
,"Decrease ciprofloxacin absorption, resulting in lower serum and urine levels ",1,
,"Decrease ciprofloxacin absorption, resulting in lower serum and urine levels ",2,
,Decreased lamotrigine AUCapproximately 32%.,1,
,Decreased lamotrigine concentrationapproximately 50%.,1,
,Decreased lamotrigine concentrationsapproximately 50%.ÊDecrease in levonorgestrel component by 19%.,1,
,Decreased theophylline clearance may occur in hypothyroid patients; clearance returns to normal when the euthyroid state is achieved.,50,
,Decreases tubular reabsorption; clinical toxicity from methotrexate can result.,5,
y,DESCRIPTION OF INTERACTION,5,
,diarrhea elevated temperature hepatic disorders infectious hepatitis jaundice,1,
,diarrheaelevated temperaturehepatic disorders infectious hepatitis jaundice,3,
,diarrheaelevated temperaturehepatic disordersÊÊinfectious hepatitisÊÊjaundice,1,
,DigoxinEnalapril Iron Metoprolol Warfarin,1,
,DigoxinEnalaprilIronMetoprololWarfarin,1,
,diltiazemÊ,1,
y,DISCRIPTION OF INTERACTION,3,
,Do not co-administer nevirapine with atazanavir because nevirapine substantially decreases atazanavir exposure and there is a potential risk for nevirapine-associated toxicity due to increased nevirapine exposures.,2,
,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,2,
,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,12,
,Dopamine/Dopamine Agonists Glucocorticoids Octreotide,17,
,Dopamine/Dopamine AgonistsGlucocorticoidsOctreotide,48,
y,Dose of AED(mg/day),1,
y,Dose/Schedule of Co-administered Drug,8,
,DoseÊadjustmentÊnotneeded,6,
,DoseÊadjustmentÊnot needed,3,
,DoseÊadjustmentÊnotneeded,6,
,DoseÊadjustmentÊnotneeded,3,
,Dosing in adult patients: ÊA dose adjustment of lopinavir/ritonavir to 500/125 mg tablets twice daily or 533/133 mg (6.5 mL) oral solution twice daily is recommended when used in combination with nevirapine. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine. ÊDosing in pediatric patients: ÊPlease refer to the Kaletra¨ prescribing information for dosing recommendations based on body surface area and body weight. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.,1,
,Dosing in adult patients:A dose adjustment of lopinavir/ritonavir to 500/125 mg tablets twice daily or 533/133 mg (6.5 mL) oral solution twice daily is recommended when used in combination with nevirapine. Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.,1,
,Dosing in pediatric patients:Please refer to the Kaletra¨ prescribing information for dosing recommendations based on body surface area and body weight.Neither lopinavir/ritonavir tablets nor oral solution should be administered once daily in combination with nevirapine.,1,
,"Dosing of Vardenafil 5 mgand Alpha-BlockerSeparated by 6 Hours,Placebo-Subtracted",8,
,Dosing of Vardenafil and Alpha-Blocker Separated by 6 Hours,16,
y,Dosing ScheduleÊ,2,
y,DosingÊSchedule,2,
y,DosingÊSchedule,2,
y,DosingÊSchedule,2,
y,DosingÊSchedule,2,
y,DosingÊSchedule,1,
,DoÊnotÊexceedÊ10ÊmgÊsimvastatinÊdailyÊ,1,
,DoÊnotÊexceedÊ20ÊmgÊsimvastatinÊdailyÊ,1,
,DoÊnotÊexceedÊ8Êmg/day,2,
,DoÊnotÊexceedÊ8Êmg/day,2,
,DoÊnotÊexceedÊ8Êmg/day,1,
,DoÊnotÊexceedÊ8Êmg/day,1,
y,Drug,1,
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",1,checked
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis ( , , , )\2.6\5.1\7\12.3",2,checked
,"Drug Interactions Associated with Increased Risk of Myopathy/Rhabdomyolysis (2.6, 5.1, 7, 12.3)",12,checked
y,Drug Name Ê,2,
y,Drug Plasma Exposure (Cmax and AUC?),1,
y,Drug Plasma Exposure(Cmax and AUC?),5,
,Efavirenz* ,1,
,Effect\Average effect on steady state theophylline concentration or other clinical effect for pharmacologic interactions. Individual patients may experience larger changes in serum theophylline concentration than the value listed. ,1,
y,EFFECT,10,
y,Effect onConcentration of Saquinavir or Concomitant Drug,1,
y,Effect on Active Moiety (Risperidone + 9-Hydroxy-Risperidone (RatioChange relative to reference)Ê,2,
y,Effect on Concentration,3,
y,Effect on Concentration of Etravirine or Concomitant Drug,3,
y,Effect on Concentration of Lamotrigine or Concomitant Drug,10,
y,Effect on Concentration of Nevirapine or Concomitant Drug,1,
y,Effect on Concentration of Rilpivirine or Concomitant Drug ,1,
y,Effect on Concentration of ÊÊNevirapine orÊ ÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊÊConcomitant Drug,1,
y,Effect onConcentration ofLamotrigine orConcomitant Drug,1,
y,Effect**,4,
,EffectAverage effect on steady state theophylline concentration or other clinical effect for pharmacologic interactions. Individual patients may experience larger changes in serum theophylline concentration than the value listed.,1,
y,EffectÊonÊActiveMoietyÊ(RisperidoneÊ+Ê9-Hydroxy-ÊRisperidoneÊ(Ratio*),2,
y,EffectÊonÊActive MoietyÊ(RisperidoneÊ+Ê9- Hydroxy-ÊRisperidoneÊ(Ratio*),2,
y,EffectÊonÊActiveMoiety(RisperidoneÊ+Ê9-Hydroxy-RisperidoneÊ(Ratio*),1,
y,EffectÊonÊActiveMoietyÊ(RisperidoneÊ+Ê9-Hydroxy-ÊRisperidoneÊ(Ratio*),2,
y,EffectÊonÊActiveMoietyÊ(RisperidoneÊ+Ê9-Hydroxy-ÊRisperidoneÊ(Ratio*),2,
y,EffectÊonÊConcentrationÊofÊLamotrigineÊorÊ ConcomitantÊDrug,2,
,Ergot alkaloids: Ergotamine,1,
,Estrogen-containing oral,34,
,Estrogens (oral),34,
,"Excessive use of thyroid hormones with growth hormones may accelerate epiphyseal closure.However, untreated hypothyroidism may interfere with growth response to growth hormone.",2,
,"Excessive use of thyroid hormones with growth hormones may accelerate epiphyseal closure. However, untreated hypothyroidism may interfere with growth response to growth hormone.",48,
y,Exposure,8,
,"ForÊpatientsÊwithÊHoFH,ÊdoÊnotÊexceedÊ20ÊmgÊsimvastatinÊdaily*",1,
,Fosamprenavir*Ê,1,
,Fosamprenavir/ Ritonavir*,1,
,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),2,
,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),12,
,Furosemide ( > 80 mg IV) Heparin Hydantoins Non Steroidal Anti-lnflammatory Drugs - Fenamates - Phenylbutazone Salicylates ( > 2 g/day),2,
,Furosemide ( > 80 mg IV) Heparin Hydantoins Non Steroidal Anti-lnflammatory Drugs - Fenamates - Phenylbutazone Salicylates ( > 2 g/day),16,
,Furosemide ( > 80 mg IV)HeparinHydantoinsNon Steroidal Anti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),32,
,Furosemide ( > 80 mg IV)HeparinHydantoinsNon SteroidalAnti-lnflammatory Drugs- Fenamates- PhenylbutazoneSalicylates ( > 2 g/day),32,
y,Glucocorticoids,17,
